Cluster_ID_Iter,R0_sampled_mean,R0_sampled_lowerCI,R0_sampled_upperCI,CFR_sampled_mean,CFR_sampled_lowerCI,CFR_sampled_upperCI,IncubationPeriod_sampled_mean,IncubationPeriod_sampled_lowerCI,IncubationPeriod_sampled_upperCI,Route_resp_mean,Route_resp_lowerCI,Route_resp_upperCI,Route_direct_mean,Route_direct_lowerCI,Route_direct_upperCI,Route_sexual_mean,Route_sexual_lowerCI,Route_sexual_upperCI,Route_animal_mean,Route_animal_lowerCI,Route_animal_upperCI,Route_vector_mean,Route_vector_lowerCI,Route_vector_upperCI,Route_food_water_mean,Route_food_water_lowerCI,Route_food_water_upperCI,N_iterations_in_summary
1,3.6108310725427244,0,18.718817388094582,0.27336533691113923,6.32596096853084e-4,0.9,226.74705693899884,1.2760720965840853,3280.021656277584,0.5413000000000002,0,1,0.5338651587301586,0,1,0.10841666666666652,0,1,0.39120000000000016,0,1,0.2398333333333333,0,1,0.18586436507936488,0,1,5000
2,3.7391233867100353,0,18.76043285375984,0.2737748653850254,9.695951355055792e-4,0.9,240.17583199874085,1.27535991658909,3368.791047202967,0.5371,0,1,0.54648,0,1,0.10598333333333329,0,1,0.3894333333333337,0,1,0.2333000000000002,0,1,0.17895404761904787,0,1,5000
3,3.7215260750897907,0,19.07802470647962,0.2851872934031019,0.006088918168208082,0.9,256.42017573310966,1.2688455803477667,3318.949528137285,0.5565000000000002,0,1,0.5462176190476192,0,1,0.10858333333333327,0,1,0.4000333333333335,0,1,0.22483333333333347,0,1,0.18690388888888904,0,1,5000
4,3.633795008336973,0,19.88752852778637,0.2803364244192644,0.0014411900355859176,0.9,227.10177610666025,1.268222830366485,3314.7136926069948,0.5523999999999998,0,1,0.550944126984127,0,1,0.09968333333333336,0,1,0.4054999999999999,0,1,0.22056666666666686,0,1,0.19858444444444434,0,1,5000
5,3.668170377525702,0,18.685042721185877,0.2742722844711239,0.001117944727709374,0.9,229.1573267947251,1.2704689322646314,3320.606716805451,0.5430000000000003,0,1,0.5399731746031747,0,1,0.10291666666666657,0,1,0.4022999999999998,0,1,0.23693333333333363,0,1,0.17836801587301634,0,1,5000
6,3.666738111648343,0,18.203928734922144,0.2770502446235724,0.0010429999361206094,0.9,227.9673731013256,1.2772954393897773,3197.580091200026,0.5541,0,1,0.5291584920634921,0,1,0.10621666666666653,0,1,0.3913333333333332,0,1,0.23196666666666657,0,1,0.1839187301587303,0,1,5000
7,3.664529211764828,0,18.82275479633289,0.2709169072086137,0.001353480622341189,0.9,235.50666786898975,1.2786347866276846,3360.6237502746158,0.5537000000000006,0,1,0.5286777777777772,0,1,0.10164999999999991,0,1,0.40403333333333347,0,1,0.23219999999999996,0,1,0.1871752380952378,0,1,5000
8,3.601719612380083,0,17.45328643425196,0.28104163765454904,0.0011919641097896906,0.9,242.15793882634216,1.276599748993207,3330.2551359219347,0.5546999999999996,0,1,0.5412976984126985,0,1,0.10716666666666681,0,1,0.39690000000000014,0,1,0.2198333333333332,0,1,0.1826952380952382,0,1,5000
9,3.7160966238604956,0,19.220247714935137,0.288148634196835,0.0014906639252292788,0.9,263.91416489729386,1.2725386002145131,3473.908390446629,0.5510000000000006,0,1,0.5423324603174606,0,1,0.11269999999999974,0,1,0.4053999999999998,0,1,0.22100000000000017,0,1,0.17775357142857082,0,1,5000
10,3.6699430098972776,0,19.36545722918297,0.27602300868725277,0.0010126242135737764,0.9,232.60243418530345,1.273298077975892,3303.7893904838616,0.5448000000000003,0,1,0.544437380952381,0,1,0.10455000000000006,0,1,0.40460000000000007,0,1,0.2320999999999999,0,1,0.18829944444444452,0,1,5000
11,3.487257738047105,0,16.61949739872986,0.28735938559701546,7.880275779717864e-4,0.9,266.7327328896372,1.2754051340537362,3461.26183463142,0.5428000000000002,0,1,0.5396684126984125,0,1,0.1159,0,1,0.4038333333333332,0,1,0.23930000000000004,0,1,0.1793050793650796,0,1,5000
12,3.6517080063758027,0,18.65509830173255,0.27235286443242906,9.745916522378512e-4,0.9,234.23893751212645,1.2723924201584276,3241.880238500955,0.5416000000000001,0,1,0.5381523015873018,0,1,0.10794999999999982,0,1,0.3930333333333331,0,1,0.2392333333333327,0,1,0.1835251587301586,0,1,5000
13,3.689265416983481,0,20.275049758904377,0.2741023579467635,9.307204608333915e-4,0.9,232.69267376470694,1.2776089314687034,3353.989235444653,0.5541000000000003,0,1,0.5380728571428575,0,1,0.10449999999999957,0,1,0.4014,0,1,0.2415333333333335,0,1,0.1840291269841269,0,1,5000
