"","Pathogen_Name","Consensus_Cluster"
"Anthrax","Anthrax",1
"CCHF","CCHF",2
"Chikungunya","Chikungunya",3
"Cholera","Cholera",4
"COVID-19_A","COVID-19_A",5
"COVID-19_D","COVID-19_D",5
"COVID-19_O","COVID-19_O",6
"COVID-19_WT","COVID-19_WT",7
"Ebola","Ebola",8
"EVA71","EVA71",5
"H1N1_09","H1N1_09",7
"H1N1_18","H1N1_18",7
"H2N2","H2N2",7
"H3N2","H3N2",7
"H5N1","H5N1",9
"HIV","HIV",10
"hMPV","hMPV",7
"Lassa","Lassa",2
"Marburg","Marburg",8
"Measles","Measles",6
"MERS","MERS",9
"Mpox","Mpox",2
"Nipah","Nipah",8
"Norovirus","Norovirus",4
"Plague","Plague",11
"RVFV","RVFV",3
"SARS","SARS",7
"SFTS","SFTS",12
"Smallpox","Smallpox",13
"Zika","Zika",3
